Key,Id,Spanish(es),English(en),French(fr),German(de),Portuguese(pt)
"E_Ejercicio2_1",355540008284160,"1.<color=""green""><b>Colocate  </b></color>a la altura de <color=""green""><b>20m a 5m  </b></color>de distancia del mismo","1.<color=""green""><b>Position yourself </b></color>at a height of <color=""green""><b>20m to 5m</b></color> away from the aircraft.","1.<color=""green""><b>Place-toi</b></color> à une hauteur de <color=""green""><b>20 m, à 5 m</b></color> de distance","1.<color=""green""><b>Begeben Sie sich </b></color>in einer Höhe von <color=""green""><b>20 m bis 5 m</b></color> Entfernung zum Flugzeug.",
"E_Ejercicio2_2",356272560254976,"2.Alejate haciendo <color=""green""><b> S </b></color>en vuelo lento (sigue la guia)","2.Move away by doing an <color=""green""><b> S </b></color> in slow flight (follow the guide)","2.Éloigne-toi en volant lentement en forme de <color=""green""><b> S </b></color> (suis le guide)","2. Entferne dich, indem du im Langsamflug einen <color=""green""><b> S </b></color> ausführst (folge der Anleitung)",
"E_Ejercicio2_3",358176224817152,"3.<color=""green""><b>Vuelve</b></color> por el mismo camino haciendo <color=""green""><b>S</b></color> en vuelo lento (sigue la guia)","3.<color=""green""><b>Return along</b></color> same patrh doing an <color=""green""><b>S</b></color> in slow flight (follow the guide)","3.<color=""green""><b>Reviens</b></color>par le même chemin en volant lentement en forme de <color=""green""><b>S</b></color> (suis le guide)","3.<color=""green""><b>Kehren Sie auf demselben Weg zurück</b></color>, indem Sie im Langsamflug eine <color=""green""><b>S</b></color> fliegen (folgen Sie der Anleitung)",
"E_Ejercicio3_1",358747015065600,"<color=""green""><b>Alejate</b></color> subiendo hasta los <color=""green""><b>40m</b> </color>","<color=""green""><b>Move away</b></color>, climbing up to <color=""green""><b>40m","<color=""green""><b>Éloigne-toi</b></color> en montant jusqu’à <color=""green""><b>40 m","<color=""green""><b>Sich entfernen</b></color>, bis auf <color=""green""><b>40 m",
"E_Ejercicio3_2",358966431690752,"<color=""green""><b>Desciende 20 metros</b></color> y mantener el vuelo nivelado hasta llegar al piloto","<color=""green""><b>Descent 20 meters</b></color> and maintain level flight until reaching the pilot","<color=""green""><b>Descends de 20 mètres</b></color> et maintiens un vol stabilisé jusqu’au pilote","<color=""green""><b>Sinkflug um 20 Meter</b></color> und halten Sie den Horizontalflug bei, bis Sie den Piloten erreichen",
"E_Ejercicio4_1",359773575163904,"<color=""green""><b>Colocate</b></color> a 30 metros ","<color=""green""><b>Place at</b></color> 30 meters","<color=""green""><b>Place-toi</b></color> à 30 mètres","<color=""green""><b>Ort: </b></color> 30 Meter",
"E_Ejercicio4_2",359788452360192,"Realiza el <color=""green""><b>rectangulo </b></color>sin sobrepasar la los <color=""green""><b>5 m/s </b></color>(18 km/h)","Make the <color=""green""><b>rectangle</b></color> without exceeding <color=""green""><b>5 m/s</b></color> (18 km/h)","Effectue le <color=""green""><b>rectangle</b></color> sans dépasser les <color=""green""><b> 5m/s</b></color> (18 km/h)","Erstelle das <color=""green""><b>Rechteck</b></color>, ohne dabei <color=""green""><b>5 m/s</b></color> (18 km/h) zu überschreiten.",
"E_Ejercicio5_1",360448434483200,"Despega <color=""green""><b>50 metros ","Take off <color=""green""><b>50 meters","Décolle sur <color=""green""><b>50 mètres","Start <color=""green""><b>50 Meter",
"E_Ejercicio5_2",360466671316992,"<color=""green""><b>Aterriza</b></color> en la zona de emergencia <color=""green""><b>( H ) ","Land in the emergency zone <color=""green""><b>( H )","Atterris dans la zone d’urgence <color=""green""><b>( H )","Land in der Gefahrenzone <color=""green""><b>( H )",
"E_Ejercicio6_1",361068692353024,"<color=""green""><b>Despega 50 metros</b></color> enciama de la zona de emergencia ( H )","<color=""green""><b>Take off 50</b></color> meters above the emergency zone","<color=""green""><b>Décolle sur 50 mètres</b></color> au-dessus de la zone d’urgence","<color=""green""><b>50</b></color> Meter über der Notfallzone abheben</color>",
"E_Ejercicio6_2",361092088180736,"Descenso en <color=""green""><b>espiral</b></color> con velocidad y toma ""dura"" de control","<color=""green""><b>Spiral</b></color> descent with speed and ""hard"" takeover","Descente en <color=""green""><b>spirale</b></color> avec vitesse et reprise de contrôle “brusque”","<color=""green""><b>Spiralförmiger</b></color> Sinkflug mit Geschwindigkeit und „hartem“ Übernahmeflug",
"E_Ejercicio7_1",361707199639552,"<color=""green""><b>Asciende 50 metros</b></color> y dirigete hacia el bosque de enfrente.","<color=""green""><b>Ascend 50 meters</b></color> and head toward the forest ahead.","<color=""green""><b>Monte à 50 mètres</b></color> et dirige-toi vers la forêt en face.","<color=""green""><b>Steige 50 Meter hinauf</b></color> und gehe in Richtung des Waldes vor dir.",
"E_Ejercicio7_2",361772303626240,"¡¡PERDIDA DE SEÑAL!!  EJECUTA UN <color=""green""><b>RTH ","SIGNAL LOSS! RUN <color=""green""><b>RTH 
","PERTE DE SIGNAL!! EXÉCUTE UN <color=""green""><b>RTH 
","SIGNALVERLUST! FAHREN SIE <color=""green""><b>RTH ",
"E_Ejercicio8_1",362532777078784,"1.<color=""green""><b>Despega</b></color> y asciende a <color=""green""><b>50m</b></color>","2.<color=""green""><b>Take off</b></color> and ascent <color=""green""><b>50m","3.<color=""green""><b>Décolle</b></color> et monte à <color=""green""><b>50 m","2.<color=""green""><b>Start</b></color> und Steigflug <color=""green""><b>50 m",
"E_Ejercicio8_2",362602515771392,"2.<color=""green""><b>Mantente a 10 metros</b></color> de UAS hasta que finalice el tiempo","2.<color=""green""><b>Stay 10 meters</b></color> away from the UAS until the timer expires","2.<color=""green""><b>Reste à 10 mètres</b></color> du UAS jusqu’à la fin du temps","2.<color=""green""><b>Halten Sie einen Abstand von 10 Metern</b></color> zum UAS ein, bis der Timer abgelaufen ist.",
"E_Ejercicio8_3",364281436942336,"<color=""green""><b>Aterriza</b></color> en la zona de emergencia <color=""green""><b>( H ) ","Land in the emergency zone <color=""green""><b>( H )","Atterris dans la zone d’urgence <color=""green""><b>( H )","Land in der Gefahrenzone <color=""green""><b>( H )",
"E_Ejercicio9_1",362627857756160,"1.<color=""green""><b>Despega</b></color> y asciende a <color=""green""><b>50m</b></color>","1.<color=""green""><b>Take off</b></color> and ascent <color=""green""><b>50m","1.<color=""green""><b>Décolle</b></color et monte à <color=""green""><b>50 m","1.<color=""green""><b>Start</b></color> und Steigflug <color=""green""><b>50 m",
"E_Ejercicio9_2",364045729640448,"2.<color=""green""><b>Mantente a 10 metros</b></color>  de la persona hasta que finalice el tiempo","2.<color=""green""><b>Stay 10 meters</b></color> away from the UAS until the timer expires","2.<color=""green""><b>Reste à 10 mètres</b></color> de la personne jusqu’à la fin du temps","2.<color=""green""><b>Halten Sie einen Abstand von 10 Metern</b></color> zum UAS ein, bis der Timer abgelaufen ist.",
"E_Ejercicio9_3",364058652291072,"<color=""green""><b>Aterriza</b></color> en la zona de emergencia <color=""green""><b>( H ) ","Land in the emergency zone <color=""green""><b>( H )","Atterris dans la zone d’urgence <color=""green""><b>( H )","Land in der Gefahrenzone <color=""green""><b>( H )",
"E_Tablet_0Btn",365559428788224,"VUELO ESTACIONARIO","HOVERING","VOL STATIONNAIRE","SCHWEBEN",
"E_Tablet_1Btn",365699535319040,"TRANSICIÓN DE VUELO","FLIGHT TRANSITION","TRANSITION DE VOL","FLUGÜBERGANG",
"E_Tablet_2Btn",365740492697600,"ASCENSO Y DESCENSO","ASCENT & DESCENT","ASCENSION ET DESCENTE","AUFSTIEG & ABSTIEG",
"E_Tablet_3Btn",365755894181888,"CONTROL DE LA VELOCIDAD EN VUELO","FLIGHT SPEED CONTROL","CONTRÔLE DE LA VITESSE EN VOL","FLUGGESCHWINDIGKEITSREGELUNG",
"E_Tablet_4Btn",365787905110016,"DESPEGUE Y ATERRIZAJE","TAKEOFF & LANDING","DÉCOLLAGE ET ATTERRISSAGE","START & LANDUNG",
"E_Tablet_5Btn",365802211880960,"SIMULACIÓN DE FALLO DEL MOTOR","ENGINE FAILURE SIMULATION","SIMULATION DE PANNE DU MOTEUR","SIMULATION EINES MOTORAUSFALLS",
"E_Tablet_6Btn",365818439643136,"SIMULACIÓN FALLO DE COMUNICACIÓN","COMMUNICATION FAILURE SIMULATIO","SIMULATION DE PANNE DE COMMUNICATION","SIMULATION EINES KOMMUNIKATIONSFEHLERS",
"E_Tablet_7Btn",365837309816832,"GESTIÓN DE SIMULACIÓN I / DRON","SITUATION MANAGEMENT I / DRON","GESTION DE SIMULATION I / DRONE","SITUATIONSMANAGEMENT I / DRONE",
"E_Tablet_8Btn",365851134242816,"GESTIÓN DE SIMULACIÓN II / PERSONA","SITUATION MANAGEMENT II / PERSON","GESTION DE SIMULATION II / PERSONNE","SITUATIONSMANAGEMENT II / PERSON",
"T_Panel1",369426178617344,"Colocate encima del primer cono","Place yourself on top of the first cone","Place-toi au-dessus du premier cône","Stell dich auf den ersten Kegel",
"T_Panel2",369575772663808,"Dirigete al segudo cono hacia delante","Head for the second cone forward","Va vers le deuxième cône devant toi","Fahre auf den zweiten Kegel vor",
"T_Panel3",1516271344922624,"Lateralmente, dirigete al siguiente cono","Laterally, head to the next cone","Latéralement, va vers le cône suivant","Bewegen Sie sich seitwärts zum nächsten Kegel",
"T_Panel3.1",1516637788680192,"Rota hacia el cono y ve hacia él","Turn towards the cone and go towards it.","Tourne vers le cône et dirige-toi vers lui","Wende dich dem Kegel zu und gehe auf ihn zu.",
"T_Panel4",1518057824825344,"Por ultimo, hacia atras al siguiente cono","Finally, toward back to the next cone","Enfin, recule jusqu’au cône suivant","Schließlich wieder zurück zum nächsten Kegel",
"T_Panel4.1",1518353359679488,"Por ultimo, rota y dirigete hacia el ultimo cono","Finally, rotate and head towards the last cone","Enfin, tourne et va vers le dernier cône","Drehen Sie sich schließlich um und gehen Sie auf den letzten Kegel zu.",
"T_Panel5",1518774287446016,"BIEN HECHO","GOOD JOB","BIEN JOUÉ","GUT GEMACHT",
"T_Panel6",1518970027225088,"VUELVE A TU POSICION INICIAL","RETURN TO YOUR STARTING POSITION","REVIENS À TA POSITION INITIALE","KEHREN SIE IN IHRE AUSGANGSPOSITION ZURÜCK",
"E_EjercicioText",2540519014379520,"EJERCICIO ","EXERCISE","EXERCICE","ÜBUNG",
"InteractCanvas_1",3999774963773440,"Pulsar","Click","Appuie","Klicken",
"SSP_Carrera
",6925336306307072,"Carrera","Race","Course","Rennen",
"SSP_VueloLibre",6926245836935168,"Vuelo Libre","Free flight","Vol libre","Freiflug",
"SSP_Busqueda",6926301340160000,"Busqueda","Search","Recherche","Suche",
"SSP_Agro",6926349633376256,"Agro","Agricultural","Agricole","Landwirtschaft",
"SSP_Examen",6926372660105216,"Examen","Exam","Examen ","Prüfung",
"SSP_Volver",6926397012234240,"Volver","Return ","Retourner ","Zurück ",
"SSP_Bosque",6926437520822272,"Bosque","Forest ","Forêt","Wald ",
"SSP_Ciudad",6926547147345920,"Cuidad","City","Ville","Stadt",
"SSP_IndicacionesK",6930924616601600,"Utiliza W/A/S/D o  ↑/↓/→/← para navegar por el menu","Use W/A/S/D or ↑/↓/→/← to navigate the menu","Utilise W/A/S/D ou ↑/↓/→/← pour naviguer dans le menu","Verwende die Tasten W/A/S/D oder ↑/↓/→/←, um durch das Menü zu navigieren",
"SSP_IndicacionesG",6931490038140928,"Utiliza el joystick para navegar por el menu","Use the joystick to navigate the menu","Utilise le joystick pour naviguer dans le menu","Verwenden Sie den Joystick, um durch das Menü zu navigieren",
"Tutorial_FinishTitle",19212430482276352,"TUTORIAL FINALIZADO","TUTORIAL FINISHED","TUTORIEL TERMINÉ","ANLEITUNG BEENDET",
"Tutorial_FinishText",19212792530403328,"Ahora seras mandado a la sala de operaciones","You will be sent the control room","Vous serez maintenant conduit au centre des opérations.","Sie werden in die Leitstelle weitergeleitet.",
"Tutorial_Paso1_Titulo",22434123413651456,"Agarrar el mando","Grab the controller","Appuyez sur la touche « E » pour récupérer la télécommande.","Nimm den Controller in die Hand",
"Tutorial_Paso1_Control1_Teclado",22435202360606720,"Pulsa la tecla ""E"" para agarrar el mando","Press the ""E"" key to grab the remote","Appuyez sur la touche « E » pour prendre la télécommande","Drücke die Taste „E“, um die Fernbedienung zu nehmen.",
"Tutorial_Paso1_Control1_Mando",22435392421298176,"Pulsa el boton de la derecha del mando mirando hacia el mando para agarralo","Press the right button on the controller while looking towards the remote to grab it","Appuyez sur le bouton de droite de la manette tout en regardant vers la télécommande pour l'attraper","Drücke die rechte Taste auf dem Controller, während du in Richtung der Fernbedienung schaust, um sie zu greifen.",
"Tutorial_Paso2_Titulo",22434176853278720,"Movimiento Vertical","Vertical movement","Mouvement vertical","Vertikale Bewegung",
"Tutorial_Paso2_Subtitulo",22434191701114880,"Con el mando agarrado vamos a proceder a despegar el dron","With the controller on hand, we are going to take off now","Appuie sur la touche « W » pour t'envoler ou grimper.","Da wir den Controller nun zur Hand haben, werden wir jetzt abheben.",
"Tutorial_Paso2_Control1_Teclado",22435307406950400,"Presiona la tecla ""W"" para despegar/subir el dron","Press the ""W"" key to take off/go upwards","Appuyez sur la touche « W » pour décoller ou monter.","Drücke die Taste ""W"", um abzuheben bzw. nach oben zu fliegen.",
"Tutorial_Paso2_Control2_Teclado",22435941149507584,"Presiona la tecla ""S"" para aterrizar/bajar el dron","Press the ""S"" key to land/go downwards","Appuyez sur la touche « S » pour atterrir ou descendre","Drücke die Taste ""S"", um zu landen bzw. nach unten zu gehen",
"Tutorial_Paso2_Control1_Mando",22435961005342720,"Mueve la ""Palanca Izquierda"" hacia arriba para moverte hacia arriba","Move the ""Left Stick"" upwards to move up","Déplacez le « joystick gauche » vers le haut pour monter","Bewege den „linken Stick“ nach oben, um dich nach oben zu bewegen",
"Tutorial_Paso2_Control2_Mando",22435982543093760,"Mueve la ""Palanca Izquierda"" hacia abajo para moverte hacia abajo","Move the ""Left Stick"" downwards to move down","Déplacez le « joystick gauche » vers le bas pour descendre","Bewegen Sie den „linken Stick“ nach unten, um sich nach unten zu bewegen",
"Tutorial_Paso3_Titulo",22441253453627392,"Movimiento horizontal y rotación","Horizontal movement and rotation","Mouvement horizontal et rotation","Horizontale Bewegung und Drehung",
"Tutorial_Paso3_Subtitulo_Teclado",22441429673115648,"Ahora toca mover el dron:","Now we need to make the dron move","Il faut maintenant faire bouger le drone","Jetzt müssen wir die Drohne in Bewegung setzen",
"Tutorial_Paso3_Subtitulo_Mando",22441527723360256,"Ahora toca mover el dron:","Now we need to make the dron move","Il faut maintenant faire bouger le drone","Jetzt müssen wir die Drohne in Bewegung setzen",
"Tutorial_Paso3_Control1_Teclado",22441695516491776,"Rota el dron con las teclas ""A""/""D"" para rotar el dron hacia la derecha o izquierda respectivamente","Make the dron rotate using the keys ""A"" and ""D"" on you keyboard","Faites pivoter le drone à l'aide des touches « A » et « D » de votre clavier.","Lass die Drohne mit den Tasten „A“ und „D“ auf deiner Tastatur drehen.",
"Tutorial_Paso3_Control2_Teclado",22441869437501440,"Mueve el dron utilizando las flechas del teclado, el movimiento depende de la rotación del dron","Move the dron by using the right stick, the movement is depends on the dron orientation","Déplacez le drone à l'aide du joystick droit ; le mouvement dépend de l'orientation du drone.","Steuere die Drohne mit dem rechten Stick; die Bewegungsrichtung hängt von der Ausrichtung der Drohne ab.",
"Tutorial_Paso3_Control1_Mando",22442216742649856,"Rota el dron moviendo la ""Palanca Izquierda"" de izquierda a derecha","Make the dron rotate using the ""Left Stick"" and moving it right and left","Faites pivoter le drone à l'aide du « joystick gauche » en le déplaçant vers la droite et vers la gauche.","Lass die Drohne mit dem „linken Stick“ drehen, indem du ihn nach rechts und links bewegst.",
"Tutorial_Paso3_Control2_Mando",22442496670498816,"Mueve el dron utilizando la ""Palanca Derecha"" del mando","Move the dron using the ""Right Stick""","Déplacez le drone à l'aide du « joystick droit ».","Steuere die Drohne mit dem „rechten Stick“.",
"Tutorial_Paso4_Titulo",22446732170952704,"Modo ""FPV""","""FPV"" Mode","Mode « FPV »","„FPV“-Modus",
"Tutorial_Paso4_Subtitulo",23144810423189504,"Ahora prueba el modo ""FPV""","Now try the ""FPV"" mode","Essayez maintenant le mode « FPV »","Probieren Sie nun den „FPV“-Modus aus",
"Tutorial_Paso4_Control1_Teclado",23145191706394624,"Presiona la tecla ""V"" para entrar en el modo ""FPV","Press the ""V"" key to enter the ""FPV"" mode","Appuyez sur la touche « V » pour passer en mode « FPV ».","Drücken Sie die Taste „V“, um den „FPV“-Modus aufzurufen.",
"Tutorial_Paso4_Control1_Mando",23145904960372736,"Pulsa el boton de arriba en el mando para entrar en el modo ""FPV""","Press the button on top of the controller to enter the ""FPV"" mode","Appuyez sur le bouton situé en haut de la manette pour passer en mode « FPV ».","Drücken Sie die Taste oben auf der Fernbedienung, um den „FPV“-Modus aufzurufen.",
"Tutorial_Paso5_Titulo",23146716205875200,"Rotación Camara","Camera rotation","Rotation de la caméra","Kamera-Drehung",
"Tutorial_Paso5_Subtitulo",23147542173384704,"Ahora vamos a rotar la camara, es mas facil de ver en el modo ""FPV""","Now we are goint to rotate the camera, its easier to see in ""FPV"" mode","Nous allons maintenant faire pivoter la caméra ; c'est plus facile à voir en mode « FPV ».","Jetzt drehen wir die Kamera – im „FPV“-Modus lässt sich das besser erkennen.",
"Tutorial_Paso5_Control1_Teclado",23147850408591360,"Utiliza la tecla ""Shift Izquierdo"" para rotar la camara hacia arriba","Use the ""Left Shift"" key to rotate the camera upwards","Utilisez la touche « Left Shift » pour faire pivoter la caméra vers le haut","Drücke die „Linke Umschalttaste“, um die Kamera nach oben zu drehen",
"Tutorial_Paso5_Control2_Teclado",23148003911729152,"Utiiza la tecla ""Control Izquierdo"" para rotar la camara hacia abajo","Use the ""Left Control"" key to rotate the camera downwards","Utilisez la touche « Ctrl gauche » pour faire pivoter la caméra vers le bas","Drücke die „Linke Strg“-Taste, um die Kamera nach unten zu drehen",
"Tutorial_Paso5_Control1_Mando",23148132639113216,"Utiliza la flecha de arriba del ""DPAD"" para rotar la camara hacia arriba","Use the ""Up Arrow"" on the ""DPAD"" to rotate the camera upwards","Utilisez la « flèche vers le haut » du « DPAD » pour orienter la caméra vers le haut","Drehe die Kamera mit dem „Aufwärtspfeil“ auf dem „DPAD“ nach oben.",
"Tutorial_Paso5_Control2_Mando",23148280307974144,"Utiliza la flecha de abajo del ""DPAD"" para rotar la camara hacia abajo","Use the ""Down Arrow"" on the ""DPAD"" to rotate the camera downwards","Utilisez la « flèche vers le bas » du « DPAD » pour orienter la caméra vers le bas.","Drehe die Kamera mit dem „Abwärtspfeil“ auf dem „DPAD“ nach unten.",
"PauseMenu_Meteo_ButtonTitle",27894691884892160,"Clima","Climate","Climat","Klima",
"PauseMenu_Meteo_RainOption",27894960634920960,"Lluvia","Rain","Pluie","Regen",
"PauseMenu_Meteo_FogOption",27895099936145408,"Niebla","Fog","Brouillard","Nebel",
"PauseMenu_Meteo_CloudsOption",27895200842711040,"Nubes","Clouds","Nuages","Wolken",
"Tutorial_Choice_Text",29343547155742720,"Ir al tutorial","Start tutorial","Aller au tutoriel","Tutorial starten",
"Meteo_Options_Day",29727234686910464,"Día","Day","Jour","Tag",
"Meteo_Options_Night",29727279603712000,"Noche","Night","Nuit","Nacht",
"RaceMode_Tooltip",43476244868145152,"Pasa entre puertas lo mas rapido que puedas","Go through the points as fast as you can","Passez en revue les points aussi vite que possible","Geh die Punkte so schnell wie möglich durch",
"FreeFlight_Tooltip",43476281757048832,"Vuela mientras recoges puntos en ciudad o bosque","Fly while recollecting points","Volez tout en accumulant des points","Fliege und sammle dabei Punkte",
"AgriMode_Tooltip",43476409830121472,"Aplica producto a las cosechas","Apply product to your crops","Appliquez le produit sur vos cultures","Tragen Sie das Produkt auf Ihre Pflanzen auf",
"SearchMode_Tooltip",43476461583638528,"Busca un objetivo en un bosque","Search for the objective in a forest","Cherchez un objectif dans une forêt","Suche nach dem Ziel im Wald",
"ExamMode_Tooltip",43477402634461184,"Las pruebas del examen de vuelo","The exercises of the flight exam","Les épreuves de l'examen de vol","Recherche de la destination dans la forêt",
